ОСЦ;Архив;Индекс операции;Название операции;Тип ШК;КБП;вид/ площадка операции;Единица измерения;Норматив в секундах;Тип операции
ОСЦ Самара;Вне подразделений;NO 033 001 00 00;Кадровые мероприятия. Предложения по кадровым вопросам;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 033 001 00 00;Кадровые мероприятия. Предложения по кадровым вопросам;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 033 001 00 00;Кадровые мероприятия. Предложения по кадровым вопросам;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 035 001 00 00;Вовлеченность сотрудников| анализ климата в коллективе и организация командообразующих мероприятий;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 037 001 00 00;Работа по направлениям ПБ|ОТ| ЭБ и ГО;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 038 001 00 00;Выполнение поручений ЦАС/руководства СЦА. Контроль исполнения  поручений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 041 001 00 00;Коммуникации и взаимодействие;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 013 001 00 00;Тестирование функционала (АС ОАД| АС ЦАРХ| АС ЦАРС);-;00;Проекты;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Москва;Вне подразделений;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Самара;Вне подразделений;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Самара;Архив №1 Самара;NO 047 001 00 00;Разработка\поддержка Дашборда и КП;-;00;Непроизводственные;минута;0;RUCH
ОСЦ Воронеж;Вне подразделений;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 015 005 00 00;Разработка и поддержка роботов| макросов и скриптов| разработанных для автоматизации процесса;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Воронеж;Архив №3 Калининград;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Москва;Вне подразделений;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Москва;Архив №1 Томилино;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Нижний Новгород;Вне подразделений;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Новосибирск;Вне подразделений;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Самара;Вне подразделений;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Самара;Архив №1 Самара;SZ 142 000 00 00;Проверка состояния ЕХ;-;00;Запросы;единица хранения;360;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 009 007 00 00;Вопросы кибербезопасности| в т.ч. функции АИБ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 009 007 00 00;Вопросы кибербезопасности| в т.ч. функции АИБ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 009 007 00 00;Вопросы кибербезопасности| в т.ч. функции АИБ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 009 007 00 00;Вопросы кибербезопасности| в т.ч. функции АИБ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 009 009 00 00;Участие в проведении функционального аудита;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Архив №1 Самара;NO 010 002 00 00;Заполнение и верификация отчетов;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Вне подразделений;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Самара;Вне подразделений;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;NO 011 001 00 00;Формирование\корректировка и контроль исполнения ППР для Начальника цетра| Начальков отдела| Начальников секторов и сотрудников вне подразделений;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Вне подразделений;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №2 Ставрополь;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №3 Калининград;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Вне подразделений;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Москва;Архив №1 Томилино;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Вне подразделений;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;NO 019 003 00 00;Участие в инвентаризации ТМЦ;-;00;Непроизводственные;минута;60;RUCH
